antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ASPECT_SERVICE', 'ASPECT_PRICE'})",frozenset({'SENTIMENT_POSITIVE'}),0.047670639219934995,0.40249187432286027,0.03466955579631636,0.7272727272727272,1.8069252416493329,1.0,0.015482510866515867,2.190863127482845,0.4689277588168372,0.08344198174706649,0.5435588889804663,0.4067050042823932
frozenset({'SENTIMENT_POSITIVE'}),"frozenset({'ASPECT_SERVICE', 'ASPECT_PRICE'})",0.40249187432286027,0.047670639219934995,0.03466955579631636,0.0861372812920592,1.8069252416493329,1.0,0.015482510866515867,1.0420923638580093,0.7473934723481412,0.08344198174706649,0.04039216226686081,0.4067050042823932
"frozenset({'ASPECT_ROOM', 'ASPECT_PRICE'})",frozenset({'ASPECT_AMENITIES'}),0.07313109425785481,0.26706392199349943,0.03466955579631636,0.4740740740740741,1.7751333483585008,1.0,0.015138878944137367,1.3936108525475717,0.4711152104032731,0.11347517730496455,0.2824395718704662,0.3019457591465705
frozenset({'ASPECT_AMENITIES'}),"frozenset({'ASPECT_ROOM', 'ASPECT_PRICE'})",0.26706392199349943,0.07313109425785481,0.03466955579631636,0.12981744421906694,1.7751333483585006,1.0,0.015138878944137367,1.0651430548505305,0.5957709719142648,0.11347517730496455,0.06115897254728087,0.3019457591465705
frozenset({'ASPECT_ROOM'}),"frozenset({'ASPECT_AMENITIES', 'ASPECT_PRICE'})",0.4848320693391116,0.041170097508125676,0.03466955579631636,0.07150837988826815,1.7369009114966185,1.0,0.014708972226558783,1.0326748047295156,0.8235410094637223,0.07056229327453141,0.03164094309251018,0.45680682152308144
"frozenset({'ASPECT_AMENITIES', 'ASPECT_PRICE'})",frozenset({'ASPECT_ROOM'}),0.041170097508125676,0.4848320693391116,0.03466955579631636,0.8421052631578947,1.7369009114966185,1.0,0.014708972226558783,3.2627302275189587,0.442478813559322,0.07056229327453141,0.6935082184957662,0.45680682152308144
"frozenset({'ASPECT_SERVICE', 'ASPECT_PRICE'})",frozenset({'ASPECT_ROOM'}),0.047670639219934995,0.4848320693391116,0.03954496208017335,0.8295454545454546,1.7109954291518539,1.0,0.016432707420454055,3.0223185265438794,0.43634578521670025,0.08021978021978023,0.6691281904215659,0.4555548501777552
frozenset({'ASPECT_ROOM'}),"frozenset({'ASPECT_SERVICE', 'ASPECT_PRICE'})",0.4848320693391116,0.047670639219934995,0.03954496208017335,0.08156424581005586,1.7109954291518537,1.0,0.016432707420454055,1.036903622747151,0.8066202843438054,0.08021978021978023,0.03559021488359677,0.4555548501777552
frozenset({'ASPECT_PRICE'}),"frozenset({'ASPECT_SERVICE', 'ASPECT_ROOM'})",0.14301191765980498,0.1706392199349946,0.03954496208017335,0.27651515151515155,1.6204665704665706,1.0,0.015141520009296552,1.1463416017652432,0.446790087110126,0.1442687747035573,0.12765967974981696,0.25413059163059165
"frozenset({'ASPECT_SERVICE', 'ASPECT_ROOM'})",frozenset({'ASPECT_PRICE'}),0.1706392199349946,0.14301191765980498,0.03954496208017335,0.23174603174603176,1.6204665704665706,1.0,0.015141520009296552,1.1155010162692622,0.46167336238289963,0.1442687747035573,0.10354182971123554,0.25413059163059165
